order_id,customer_id,order_date,amount,status
1_0,1,2025-07-10,391.6735440722552,paid
1_1,1,2025-03-19,193.83699352589773,paid
1_2,1,2025-03-11,2.946312037024044,refunded
1_3,1,2025-05-05,308.6827016484115,refunded
1_4,1,2025-02-21,23.03025433982212,paid
1_5,1,2025-02-09,115.79389812085108,paid
1_6,1,2025-07-03,430.3433716016526,paid
1_7,1,2025-01-02,230.1356209260681,paid
1_8,1,2025-05-11,15.9863409210575,paid
2_0,2,2025-07-04,45.97114341019674,paid
2_1,2,2025-02-07,89.212957361509,paid
2_2,2,2025-04-20,26.567735259141052,paid
2_3,2,2025-02-27,154.81207673953364,paid
2_4,2,2025-05-10,23.620029912270294,paid
2_5,2,2025-02-26,18.681736870211154,paid
3_0,3,2025-01-07,373.62374903672537,paid
3_1,3,2025-01-10,224.72111395549757,paid
3_2,3,2025-03-10,74.94681040130492,paid
3_3,3,2025-02-04,58.48107293651452,paid
3_4,3,2025-05-23,121.9377582591571,paid
4_0,4,2025-05-20,9.922547373031042,paid
4_1,4,2025-07-16,13.585012652901202,paid
4_2,4,2025-05-12,103.11544587535666,paid
4_3,4,2025-06-26,34.298585364240814,paid
4_4,4,2025-05-11,49.559251081877065,paid
4_5,4,2025-03-09,3.2874787603137294,paid
4_6,4,2025-07-11,24.35551624897478,paid
5_0,5,2025-05-12,23.121828069750347,paid
5_1,5,2025-03-07,19.307309716148588,paid
5_2,5,2025-06-18,68.92777264802058,refunded
6_0,6,2025-03-18,529.0259560472791,paid
6_1,6,2025-03-05,253.0753038871658,paid
6_2,6,2025-06-02,23.419503887963874,paid
6_3,6,2025-07-07,151.17375134215,paid
6_4,6,2025-02-23,106.27253922397635,paid
6_5,6,2025-03-05,139.13582454354895,refunded
7_0,7,2025-05-24,42.071059273292256,paid
7_1,7,2025-01-10,193.14347619483343,paid
7_2,7,2025-07-07,38.05326498350717,paid
7_3,7,2025-02-12,95.89314241041463,paid
7_4,7,2025-04-06,94.94518735362298,paid
7_5,7,2025-04-23,414.09183546912516,paid
7_6,7,2025-04-30,63.56696235505985,paid
7_7,7,2025-05-26,69.52513427924214,paid
7_8,7,2025-04-26,20.334403264756418,paid
8_0,8,2025-07-07,59.741569742826364,paid
8_1,8,2025-06-12,22.79390158220227,paid
8_2,8,2025-04-08,74.64701980745002,paid
